#;name;exchange_score;volume_24h;percent_change_volume_24h;effective_liquidity_24h;weekly_visits;num_market_pairs;num_coins;fiats;
144;Koinbazar;3.5;€32215137;10.08%;;176706;39;27;INR;
145;Beaxy;3.5;€10514;23.49%;386;1929;8;8;;
146;KickEX;3.5;€49723972;9.61%;255;18826;53;49;EUR, USD, RUBand +3 more;
147;Coineal;3.5;€50546845;13.03%;467;10983;13;11;;
148;Katana;3.4;€25261173;38.81%;;686919;3;4;;
149;Hotbit;3.4;€265260088;42.65%;323;1460107;1997;1502;;
150;Felixo;3.4;€4871706;66.1%;291;7370;27;19;;
151;Bilaxy;3.4;€237935;7.63%;552;94963;25;29;;
152;Globitex;3.4;€504018;11.2%;334;634;4;3;EUR;
153;BTCBOX;3.4;€32987369;22.21%;265;6014;1;2;JPY;
154;Decoin;3.4;€102590419;41.93%;417;26990;222;197;;
155;Changelly PRO;3.4;€2951294989;48.51%;364;7710;106;45;;
156;Nominex;3.4;€28882766;159.95%;429;94686;172;123;;
157;TimeX;3.4;€40803372;19.06%;248;7125;30;19;USD, AUD;
158;Unocoin;3.3;€277538;193.56%;130;21813;64;35;;
159;BitoPro;3.3;€15736773;128.76%;;79038;35;20;TWD;
160;VALR;3.3;€15666009;23.31%;;31590;69;44;ZAR;
161;LCX Exchange;3.3;€135314;61.65%;329;15973;59;30;;
162;Bitay;3.3;€251431769;34.44%;369;44254;105;59;TRY, USD, EURand +1 more;
163;Finexbox;3.3;€182775064;7.79%;376;43032;225;195;;
164;Zonda (BitBay);3.3;€23753229;118.34%;421;166601;161;57;USD, EUR, GBPand +1 more;
165;SecondBTC;3.3;€500893;3.99%;315;215;5;3;;
166;APROBIT;3.3;€298597;123.65%;313;1289;9;8;;
167;Emirex;3.3;€44568549;92.25%;;6453;30;15;AED, USD, EUR;
168;Namebase;3.3;€28213;71.59%;332;60697;1;2;;
169;Paymium;3.3;€418066;326.69%;301;8272;1;2;EUR;
170;Bitazza;3.3;€10760635;67.82%;;83686;107;58;THB;
171;Huobi Japan;3.3;€2473051;245.79%;473;32460;19;10;;
172;Tokenize Xchange;3.2;€29374480;5.05%;398;60312;42;17;;
173;digitalexchange.id;3.2;€188622;27.4%;298;5357;31;31;IDR;
174;Narkasa;3.2;€1996013;32.6%;278;527;19;11;TRY;
175;BitClude;3.2;€51563;170.96%;298;11140;2;3;PLN, GBP;
176;Dcoin;3.2;€802886617;34.83%;296;43423;125;115;;
177;LiteBit.eu;3.1;€5446593;177.58%;;176857;64;65;EUR;
178;CoinFalcon;3.1;€13051;369.98%;297;7578;8;8;EUR;
179;EXIR;3.1;€1873997;18.98%;235;11302;15;11;IRT;
180;BITEXLIVE;3.1;€8600330;17.73%;227;1450;40;26;;
181;Artis Turba;3.1;€35452;10.88%;283;377;21;10;ZAR;
182;Ubeswap;3.1;€3359568;61.96%;;19770;30;21;;
183;BitClover (Hotbit Korea);3.1;€54659466;3.32%;377;6219;175;99;;
184;Altcoin Trader;3.1;€3048626;33.22%;;317975;28;27;ZAR;
185;BTC-Alpha;3.0;€30435548;134.56%;346;172596;23;17;USD, EUR;
186;GOPAX;3.0;€4235697;15.47%;198;87660;20;21;KRW;
187;Bitonic;2.9;€1326588;97.93%;;31314;1;2;EUR;
188;Cat.Ex;2.9;€87569166;3.14%;308;30623;151;80;;
189;BitcoinTrade;2.9;€1178367;221.77%;;23968;7;8;BRL;
190;SINEGY Marketplace;2.9;€93808;43.1%;238;2282;2;3;MYR;
191;TradeOgre;2.9;€1009317;47.12%;;702249;86;81;;
192;Bvnex;2.9;€2327227;93.61%;;670;39;40;;
193;CoinCorner;2.9;€950879;174.3%;;14434;2;3;GBP, EUR;
194;Tidebit;2.9;€567021;365.52%;;1663;8;8;HKD;
195;Txbit;2.8;€418076;43.89%;;24565;28;23;;
